Gender,Height,Weight,Bust/Chest,Cup Size,Waist,Hips,Body Shape Index
Male,"6'3""",46,47,,21,34,1
Female,"6'2""",44,44,C,31,49,2
Male,"6'8""",63,47,A,31,40,4
Male,"4'0""",67,41,E,27,47,2
Male,"4'0""",101,37,B,31,36,4
Female,"4'7""",56,31,E,30,47,3
Male,"6'5""",59,31,,21,32,3
Male,"6'10""",42,34,B,20,34,1
Male,"4'6""",76,30,C,23,42,2
Female,"5'5""",54,33,,28,45,3
Male,"4'5""",90,35,A,26,41,0
Male,"6'2""",87,42,,29,36,3
Male,"5'9""",47,48,,39,42,3
Male,"5'4""",52,40,,33,30,2
Female,"5'8""",87,42,,20,44,4
Male,"6'7""",42,37,D,24,41,0
Female,"5'8""",104,36,B,32,46,0
Female,"5'2""",112,42,,25,49,4
Female,"6'1""",70,30,B,36,34,2
Male,"5'0""",65,35,,34,46,3
Female,"6'6""",95,36,A,26,44,4
Male,"6'0""",73,45,A,27,49,0
Female,"4'4""",48,44,,21,48,0
Female,"4'4""",101,49,A,37,30,3
Female,"4'7""",52,31,,26,33,3
Female,"4'11""",108,45,B,39,32,1
Female,"4'0""",80,46,E,35,37,4
Female,"6'1""",116,44,B,38,38,3
Female,"6'7""",40,32,,28,41,1
Female,"6'8""",86,33,,31,34,2
Male,"5'3""",43,41,,33,38,0
Male,"5'5""",102,34,D,26,30,4
Female,"6'2""",91,46,,21,40,2
Female,"6'11""",49,35,,36,36,4
Female,"4'1""",67,39,,30,49,4
Male,"4'2""",45,47,A,37,43,3
Female,"6'5""",66,39,C,31,32,1
Male,"5'7""",51,35,B,22,40,4
Male,"4'6""",101,35,F,33,46,2
Male,"5'9""",91,49,,34,47,4
Male,"5'11""",87,44,D,38,48,1
Male,"5'1""",106,33,,29,47,0
Female,"5'7""",85,45,B,28,35,4
Female,"6'11""",113,37,,29,44,2
Female,"5'6""",54,36,,39,36,0
Female,"6'7""",110,48,D,23,34,0
Female,"6'7""",75,46,,38,34,3
Male,"5'6""",53,42,,29,36,3
Female,"6'5""",117,44,,36,41,4
Female,"4'6""",42,31,,31,37,2
Male,"4'6""",106,39,A,20,47,3
Female,"4'0""",58,42,C,30,47,1
Male,"4'4""",115,47,,32,46,1
Female,"4'4""",93,40,A,20,40,0
Male,"6'4""",108,42,,20,44,0
Female,"6'8""",49,48,,35,49,0
Female,"4'5""",72,34,B,26,35,1
Male,"6'0""",52,32,,29,41,3
Male,"6'6""",90,48,B,35,36,3
Male,"5'9""",71,42,,20,37,4
Male,"5'3""",114,34,D,28,33,2
Male,"5'3""",63,41,B,25,32,1
Male,"5'1""",74,43,,34,32,0
Male,"5'3""",109,35,D,23,39,2
Male,"4'7""",79,38,,34,44,0
Female,"6'5""",93,46,C,29,42,2
Female,"5'3""",83,37,,35,48,2
Male,"4'10""",101,42,A,32,37,3
Female,"6'7""",107,34,D,38,47,4
